**********************
Inicio de la transcripción de Windows PowerShell
Hora de inicio: 20250806144948
Nombre de usuario: AULA403-23\Administrador
Usuario RunAs: AULA403-23\Administrador
Nombre de la configuración: 
Máquina: AULA403-23 (Microsoft Windows NT 10.0.26100.0)
Aplicación host: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Id. de proceso: 1636
PSVersion: 5.1.26100.4652
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.4652
BuildVersion: 10.0.26100.4652
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
La transcripción ha comenzado. El archivo de salida es C:\Users\Aula403-23\Documents\E2\transcript.txt
PS C:\WINDOWS\system32> Get-Date

miércoles, 6 de agosto de 2025 02:49:59 p. m.


PS C:\WINDOWS\system32> Get-Location

Path
----
C:\WINDOWS\system32


PS C:\WINDOWS\system32> Clear-Host
PS C:\WINDOWS\system32> Get-Process

Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
-a----     04/06/2025  08:31 p. m.          81920 DialogBlockerProc.dll
-a----     05/06/2025  01:10 p. m.          81920 DialogBlockingManager.dll
-a----     05/06/2025  01:10 p. m.          98304 DialogBlockingService.dll
-a----     04/06/2025  08:31 p. m.         233472 dialserver.dll
-a----     04/06/2025  08:30 p. m.         446464 DictationManager.dll
-a----     04/06/2025  08:31 p. m.         303104 difxapi.dll
-a----     10/07/2025  09:55 a. m.         143360 dimsjob.dll
-a----     04/06/2025  08:31 p. m.         102400 dimsroam.dll
-a----     05/09/2024  10:08 p. m.         204800 dinput.dll
-a----     05/09/2024  10:08 p. m.         266240 dinput8.dll
-a----     01/04/2024  01:22 a. m.          49152 Direct2DDesktop.dll
-a----     10/07/2025  09:55 a. m.         674976 directmanipulation.dll
-a----     01/04/2024  01:22 a. m.        6674864 directml.dll
-a----     04/06/2025  08:31 p. m.         150256 directsr.dll
-a----     10/07/2025  09:55 a. m.         414640 directxdatabasehelper.dll
-a----     04/06/2025  08:30 p. m.         176128 directxdatabaseupdater.exe
-a----     05/06/2025  01:10 p. m.         356352 discan.dll
-a----     01/04/2024  01:22 a. m.          47682 diskmgmt.msc
-a----     05/09/2024  10:08 p. m.         176128 diskpart.exe
-a----     05/09/2024  10:08 p. m.          49152 diskperf.exe
-a----     01/04/2024  01:22 a. m.         356352 diskraid.exe
-a----     01/04/2024  01:22 a. m.          89761 DiskSnapshot.conf
-a----     05/09/2024  10:08 p. m.          98304 DiskSnapshot.exe
-a----     05/09/2024  10:08 p. m.          73728 diskusage.exe
-a----     05/09/2024  10:08 p. m.         329120 Dism.exe
-a----     10/07/2025  09:55 a. m.        1271168 DismApi.dll
-a----     10/07/2025  09:55 a. m.        1015808 DispBroker.Desktop.dll
-a----     10/07/2025  09:56 a. m.         589824 DispBroker.dll
-a----     10/07/2025  09:56 a. m.         217088 dispdiag.exe
-a----     04/06/2025  08:33 p. m.          53248 dispex.dll
-a----     05/09/2024  10:08 p. m.         184320 Display.dll
-a----     04/06/2025  08:31 p. m.         163840 DisplayManager.dll
-a----     05/09/2024  10:08 p. m.        1877392 DisplaySwitch.exe
-a----     01/04/2024  01:22 a. m.            602 DisplaySystemToastIcon.contrast-white.png
-a----     01/04/2024  01:22 a. m.            346 DisplaySystemToastIcon.png
-a----     01/04/2024  01:22 a. m.          24576 djctq.rs
-a----     01/04/2024  01:22 a. m.         106496 djoin.exe
-a----     05/09/2024  10:08 p. m.          50504 dllhost.exe
-a----     05/09/2024  10:08 p. m.          40960 dllhst3g.exe
-a----     10/07/2025  09:55 a. m.         364544 dlnashext.dll
-a----     04/06/2025  08:31 p. m.          28672 DMAlertListener.ProxyStub.dll
-a----     04/06/2025  08:31 p. m.          94208 DmApiSetExtImplDesktop.dll
-a----     05/06/2025  01:10 p. m.          12288 DMAppsRes.dll
-a----     04/06/2025  08:31 p. m.         212992 dmcertinst.exe
-a----     01/04/2024  01:22 a. m.          65536 dmcfghost.exe
-a----     04/06/2025  08:31 p. m.         135168 dmcfgutils.dll
-a----     04/06/2025  08:31 p. m.         172032 dmclient.exe
-a----     10/07/2025  09:55 a. m.         885696 dmcmnutils.dll
-a----     01/04/2024  01:22 a. m.          36864 dmcommandlineutils.dll
-a----     05/06/2025  01:10 p. m.         225280 dmcsps.dll
-a----     05/06/2025  01:10 p. m.         376832 dmdlgs.dll
-a----     05/09/2024  10:08 p. m.         290816 dmdskmgr.dll
-a----     05/06/2025  01:10 p. m.          12288 dmdskres.dll
-a----     05/06/2025  01:10 p. m.          12288 dmdskres2.dll
-a----     10/07/2025  09:56 a. m.        1040384 dmenrollengine.dll
-a----     04/06/2025  08:31 p. m.         389120 dmenterprisediagnostics.dll
-a----     05/06/2025  01:10 p. m.          73728 dmintf.dll
-a----     01/04/2024  01:22 a. m.          40960 dmiso8601utils.dll
-a----     05/06/2025  01:09 p. m.         106496 dmloader.dll
-a----     01/04/2024  01:22 a. m.          53248 DmNotificationBroker.exe
-a----     04/06/2025  08:32 p. m.          73728 dmocx.dll
-a----     01/04/2024  01:22 a. m.          49152 dmoleaututils.dll
-a----     05/09/2024  10:08 p. m.          61440 DmOmaCpMo.exe
-a----     10/07/2025  09:55 a. m.        1306624 DmOsConfig.dll
-a----     05/09/2024  10:08 p. m.          69632 dmprocessxmlfiltered.dll
-a----     04/06/2025  08:31 p. m.          53248 dmpushproxy.dll
-a----     04/06/2025  08:31 p. m.         376832 DMPushRouterCore.dll
-a----     04/06/2025  08:31 p. m.        3539928 DMRCDecoder.dll
-a----     10/07/2025  09:56 a. m.         592336 DMRServer.dll
-a----     04/06/2025  08:30 p. m.         147456 dmsynth.dll
-a----     05/06/2025  01:09 p. m.         204800 dmusic.dll
-a----     05/06/2025  01:10 p. m.          53248 dmutil.dll
-a----     01/04/2024  01:22 a. m.         184320 dmvdsitf.dll
-a----     04/06/2025  08:31 p. m.         155648 dmview.ocx
-a----     04/06/2025  08:31 p. m.         143360 dmwappushsvc.dll
-a----     04/06/2025  08:32 p. m.         172032 dmwmicsp.dll
-a----     04/06/2025  08:31 p. m.         172032 dmxmlhelputils.dll
-a----     10/07/2025  09:56 a. m.        1216280 dnsapi.dll
-a----     01/04/2024  01:22 a. m.          61440 dnscacheugc.exe
-a----     10/07/2025  09:56 a. m.         163840 DnsClientCSP.dll
-a----     10/07/2025  09:56 a. m.         169368 dnscmmc.dll
-a----     01/04/2024  01:22 a. m.          32768 dnsext.dll
-a----     10/07/2025  09:56 a. m.         658424 dnsrslvr.dll
-a----     05/09/2024  10:08 p. m.         180224 Docking.VirtualInput.dll
-a----     04/06/2025  08:30 p. m.          36864 DockInterface.ProxyStub.dll
-a----     10/07/2025  09:55 a. m.        1701248 doclient.dll
-a----     05/09/2024  10:08 p. m.          65536 docprop.dll
-a----     01/04/2024  01:22 a. m.          86016 DocumentPerformanceEvents.dll
-a----     05/06/2025  01:10 p. m.          67608 DolbyDecMFT_redirect.dll
-a----     04/06/2025  08:30 p. m.         122880 domgmt.dll
-a----     04/06/2025  08:30 p. m.         601032 domiprov.dll
-a----     10/07/2025  09:55 a. m.         434176 dosettings.dll
-a----     01/04/2024  01:22 a. m.          45056 doskey.exe
-a----     04/06/2025  08:30 p. m.          98304 dosvc.dll
-a----     05/06/2025  01:10 p. m.         180224 dot3api.dll
-a----     01/04/2024  01:22 a. m.          94208 dot3cfg.dll
-a----     04/06/2025  08:31 p. m.         122880 dot3gpclnt.dll
-a----     10/07/2025  09:56 a. m.         372736 dot3gpui.dll
-a----     04/06/2025  08:31 p. m.         126976 dot3msm.dll
-a----     05/06/2025  01:10 p. m.         405504 dot3svc.dll
-a----     05/09/2024  10:08 p. m.         352256 dot3ui.dll
-a----     01/04/2024  01:22 a. m.          40960 dpapi.dll
-a----     01/04/2024  01:22 a. m.         102400 dpapimig.exe
-a----     04/06/2025  08:31 p. m.         110592 dpapiprovider.dll
-a----     10/07/2025  09:56 a. m.         331776 dpapisrv.dll
-a----     01/04/2024  01:22 a. m.         102400 DpiScaling.exe
-a----     04/06/2025  08:31 p. m.         139264 dplcsp.dll
-a----     05/06/2025  01:10 p. m.          36864 dpnaddr.dll
-a----     05/06/2025  01:35 p. m.          36864 dpnathlp.dll
-a----     05/06/2025  01:10 p. m.          36864 dpnet.dll
-a----     05/06/2025  01:35 p. m.          36864 dpnhpast.dll
-a----     05/06/2025  01:35 p. m.          36864 dpnhupnp.dll
-a----     05/06/2025  01:35 p. m.          36864 dpnlobby.dll
-a----     05/06/2025  01:10 p. m.          36864 dpnsvr.exe
-a----     10/07/2025  09:55 a. m.         192512 dps.dll
-a----     10/07/2025  09:55 a. m.        1119632 dpx.dll
-a----     05/09/2024  10:08 p. m.          73728 DragDropExperienceDataExchangeDelegated.dll
-a----     05/06/2025  01:10 p. m.         106496 driverquery.exe
-a----     01/04/2024  01:22 a. m.          53248 drprov.dll
-a----     10/07/2025  09:55 a. m.          21899 DrtmAuthTxt.wim
-a----     10/07/2025  09:55 a. m.         475136 drvinst.exe
-a----     10/07/2025  09:55 a. m.         266240 drvsetup.dll
-a----     10/07/2025  09:56 a. m.        1575752 drvstore.dll
-a----     04/06/2025  08:31 p. m.          73728 dsauth.dll
-a----     05/09/2024  10:09 p. m.         507904 DscCore.dll
-a----     05/09/2024  10:09 p. m.         196608 DscCoreConfProv.dll
-a----     04/06/2025  08:35 p. m.          75856 dsclient.dll
-a----     05/09/2024  10:09 p. m.          45056 dscproxy.dll
-a----     05/09/2024  10:09 p. m.          49152 DscTimer.dll
-a----     04/06/2025  08:30 p. m.         180224 dsdmo.dll
-a----     05/09/2024  10:08 p. m.         147456 dskquota.dll
-a----     05/09/2024  10:08 p. m.         245760 dskquoui.dll
-a----     05/06/2025  01:10 p. m.          57344 DsmUserTask.exe
-a----     04/06/2025  08:30 p. m.         598016 dsound.dll
-a----     01/04/2024  01:22 a. m.          53248 dsparse.dll
-a----     05/09/2024  10:08 p. m.         208896 dsprop.dll
-a----     04/06/2025  08:31 p. m.         212992 dsquery.dll
-a----     05/06/2025  01:12 p. m.        1455928 dsreg.dll
-a----     04/06/2025  08:34 p. m.         520192 dsregcmd.exe
-a----     05/06/2025  01:12 p. m.          77824 dsregtask.dll
-a----     05/09/2024  10:08 p. m.          55184 dsrole.dll
-a----     01/04/2024  01:24 a. m.         215943 dssec.dat
-a----     05/09/2024  10:08 p. m.          86016 dssec.dll
-a----     05/06/2025  01:10 p. m.         187432 dssenh.dll
-a----     04/06/2025  08:35 p. m.         200704 dssvc.dll
-a----     04/06/2025  08:35 p. m.          40960 dstokenclean.exe
-a----     05/09/2024  10:08 p. m.         176128 Dsui.dll
-a----     05/09/2024  10:08 p. m.         110592 dsuiext.dll
-a----     05/06/2025  01:09 p. m.          81920 dswave.dll
-a----     04/06/2025  08:34 p. m.         155648 dtdump.exe
-a----     05/06/2025  01:10 p. m.         114688 dtsh.dll
-a----     04/06/2025  08:34 p. m.         139264 DuCsps.dll
-a----     05/06/2025  01:10 p. m.        1757184 dui70.dll
-a----     10/07/2025  09:56 a. m.         700416 duser.dll
-a----     05/09/2024  10:08 p. m.          77824 dusmapi.dll
-a----     10/07/2025  09:56 a. m.         479232 dusmsvc.dll
-a----     04/06/2025  08:31 p. m.          77824 dusmtask.exe
-a----     05/09/2024  10:08 p. m.          40960 dvdplay.exe
-a----     04/06/2025  08:31 p. m.         131072 dwm.exe
-a----     10/07/2025  09:55 a. m.         216304 dwmapi.dll
-a----     10/07/2025  09:55 a. m.        4489216 dwmcore.dll
-a----     05/09/2024  10:08 p. m.          98304 dwmghost.dll
-a----     10/07/2025  09:55 a. m.         132480 dwminit.dll
-a----     10/07/2025  09:55 a. m.         258048 dwmredir.dll
-a----     04/06/2025  08:31 p. m.        1921024 dwmscene.dll
-a----     10/07/2025  09:56 a. m.        2502656 DWrite.dll
-a----     04/06/2025  08:31 p. m.         262144 DWWIN.EXE
-a----     10/07/2025  09:55 a. m.         315464 DXCore.dll
-a----     10/07/2025  09:56 a. m.         356352 dxdiag.exe
-a----     10/07/2025  09:56 a. m.         507904 dxdiagn.dll
-a----     10/07/2025  09:56 a. m.        1282384 dxgi.dll
-a----     04/06/2025  08:31 p. m.         131072 dxgiadaptercache.exe
-a----     05/09/2024  10:08 p. m.          69632 dxgwdi.dll
-a----     01/04/2024  01:22 a. m.        1500704 dxilconv.dll
-a----     05/06/2025  01:10 p. m.          28672 dxmasf.dll
-a----     05/09/2024  10:08 p. m.         503808 DXP.dll
-a----     05/09/2024  10:08 p. m.          61440 dxpps.dll
-a----     04/06/2025  08:31 p. m.         311296 Dxpserver.exe
-a----     05/09/2024  10:08 p. m.         315392 DxpTaskSync.dll
-a----     05/09/2024  10:08 p. m.         475136 dxtmsft.dll
-a----     05/09/2024  10:08 p. m.         299008 dxtrans.dll
-a----     04/06/2025  08:31 p. m.         191536 dxva2.dll
-a----     01/04/2024  01:22 a. m.         745552 DynamicLong.bin
-a----     01/04/2024  01:22 a. m.         515152 DynamicMedium.bin
-a----     01/04/2024  01:22 a. m.         323152 DynamicShort.bin
-a----     04/06/2025  08:31 p. m.         102400 dynamoapi.dll
-a----     06/08/2015  05:23 a. m.           3130 e1d65x64.din
-a----     12/09/2015  01:40 a. m.          92712 e1dmsg.dll
-a----     10/07/2025  09:56 a. m.          77824 EAMProgressHandler.dll
-a----     04/06/2025  08:31 p. m.          40960 Eap3Host.exe
-a----     10/07/2025  09:56 a. m.         344064 eapp3hst.dll
-a----     04/06/2025  08:31 p. m.         327680 eappcfg.dll
-a----     04/06/2025  08:31 p. m.         323584 eappcfgui.dll
-a----     04/06/2025  08:31 p. m.         126976 eappgnui.dll
-a----     10/07/2025  09:56 a. m.         393216 eapphost.dll
-a----     04/06/2025  08:31 p. m.         106496 eappprxy.dll
-a----     10/07/2025  09:57 a. m.         122880 eapprovp.dll
-a----     05/06/2025  01:10 p. m.         299008 eapputil.dll
-a----     10/07/2025  09:58 a. m.         188416 eapsimextdesktop.dll
-a----     05/06/2025  01:10 p. m.         176128 eapsvc.dll
-a----     10/07/2025  09:56 a. m.         237568 EapTeapAuth.dll
-a----     10/07/2025  09:56 a. m.         188416 EapTeapConfig.dll
-a----     05/09/2024  10:08 p. m.         139264 EapTeapExt.dll
-a----     01/04/2024  01:22 a. m.           2193 EarbudsSystemToastIcon.contrast-white.png
-a----     01/04/2024  01:22 a. m.           2296 EarbudsSystemToastIcon.png
-a----     01/04/2024  01:22 a. m.          45056 easconsent.dll
-a----     10/07/2025  09:58 a. m.         352256 EaseOfAccessDialog.exe
-a----     10/07/2025  09:57 a. m.         100600 easinvoker.exe
-a----     10/07/2025  09:57 a. m.          49152 easinvoker.proxystub.dll
-a----     05/09/2024  10:08 p. m.          94208 EASPolicyManagerBrokerHost.exe
-a----     31/03/2024  10:54 a. m.          36864 EasPolicyManagerBrokerPS.dll
-a----     10/07/2025  09:58 a. m.         200704 easwrt.dll
-a----     04/06/2025  08:31 p. m.          69632 EcoScoreTask.dll
-a----     05/09/2024  10:08 p. m.           5264 ecoscore_config.json
-a----     04/06/2025  08:31 p. m.        1835008 edgeangle.dll
-a----     10/07/2025  09:56 a. m.        3407872 EdgeContent.dll
-a----     10/07/2025  09:56 a. m.       26071040 edgehtml.dll
-a----     04/06/2025  08:31 p. m.         438272 edgeIso.dll
-a----     04/06/2025  08:31 p. m.         839680 EdgeManager.dll
-a----     05/09/2024  10:08 p. m.          91456 EdgeResetPlugin.dll
-a----     10/07/2025  09:56 a. m.         135168 EditBufferTestHook.dll
-a----     05/06/2025  01:11 p. m.         224624 EditionUpgradeHelper.dll
-a----     05/06/2025  01:11 p. m.         294840 EditionUpgradeManagerObj.dll
-a----     04/06/2025  08:31 p. m.         163840 edpauditapi.dll
-a----     04/06/2025  08:30 p. m.         172032 EDPCleanup.exe
-a----     04/06/2025  08:30 p. m.         188416 edpcsp.dll
-a----     04/06/2025  08:31 p. m.          98304 edpnotify.exe
-a----     10/07/2025  09:56 a. m.         135168 edptask.dll
-a----     04/06/2025  08:31 p. m.         167936 edputil.dll
-a----     04/06/2025  08:32 p. m.         143360 EduPrintProv.exe
-a----     10/07/2025  09:58 a. m.         372736 eeprov.dll
-a----     10/07/2025  09:56 a. m.         147456 eeutil.dll
-a----     04/06/2025  08:31 p. m.         151552 efsadu.dll
-a----     10/07/2025  09:56 a. m.        1250728 efscore.dll
-a----     10/07/2025  09:56 a. m.         122880 efsext.dll
-a----     10/07/2025  09:56 a. m.         143360 efslsaext.dll
-a----     05/09/2024  10:08 p. m.         118784 efssvc.dll
-a----     01/04/2024  01:22 a. m.          40960 efsui.exe
-a----     05/09/2024  10:08 p. m.         176128 efsutil.dll
-a----     10/07/2025  09:58 a. m.         782336 efswrt.dll
-a----     04/06/2025  08:31 p. m.         151552 EhStorAPI.dll
-a----     05/09/2024  10:08 p. m.         151552 EhStorAuthn.exe
-a----     05/09/2024  10:08 p. m.         139264 EhStorPwdMgr.dll
-a----     04/06/2025  08:31 p. m.         229376 EhStorShell.dll
-a----     05/09/2024  10:08 p. m.         241664 els.dll
-a----     04/06/2025  08:31 p. m.          98304 ELSCore.dll
-a----     01/04/2024  01:22 a. m.         159744 elshyph.dll
-a----     04/06/2025  08:31 p. m.         724992 elslad.dll
-a----     04/06/2025  08:31 p. m.          53248 elsTrans.dll
-a----     04/06/2025  08:34 p. m.        1110016 EmailApis.dll
-a----     04/06/2025  08:30 p. m.         180224 embeddedmodesvc.dll
-a----     05/09/2024  10:08 p. m.          77824 embeddedmodesvcapi.dll
-a----     04/06/2025  08:31 p. m.         102400 EmojiDS.dll
-a----     05/09/2024  10:08 p. m.          61440 encapi.dll
-a----     10/07/2025  09:56 a. m.         897024 energy.dll
-a----     10/07/2025  09:58 a. m.         425984 energyprov.dll
-a----     01/04/2024  01:22 a. m.          53248 energytask.dll
-a----     04/06/2025  08:31 p. m.          77824 enrollmentapi.dll
-a----     04/06/2025  08:34 p. m.         135168 EnterpriseAPNCsp.dll
-a----     01/04/2024  01:22 a. m.          45056 EnterpriseAppMgmtClient.dll
-a----     10/07/2025  09:56 a. m.         675840 EnterpriseAppMgmtSvc.dll
-a----     04/06/2025  08:30 p. m.         114688 EnterpriseAppVMgmtCSP.dll
-a----     10/07/2025  09:55 a. m.        2449408 enterprisecsps.dll
-a----     04/06/2025  08:31 p. m.         131072 EnterpriseDesktopAppMgmtCSP.dll
-a----     01/04/2024  01:22 a. m.          28672 enterpriseetw.dll
-a----     04/06/2025  08:30 p. m.         311296 EnterpriseModernAppMgmtCSP.dll
-a----     04/06/2025  08:31 p. m.         135168 enterpriseresourcemanager.dll
-a----     05/06/2025  01:09 p. m.         176128 EoAExperiences.exe
-a----     05/09/2024  10:08 p. m.         110592 eqossnap.dll
-a----     05/09/2024  10:08 p. m.         200704 ErrorDetails.dll
-a----     05/09/2024  10:08 p. m.          73728 ErrorDetailsCore.dll
-a----     04/06/2025  08:30 p. m.         479232 es.dll
-a----     04/06/2025  08:31 p. m.         221184 EsclProtocol.dll
-a----     05/06/2025  01:10 p. m.         335872 EsclScan.dll
-a----     10/07/2025  09:59 a. m.         233472 EsclWiaDriver.dll
-a----     04/06/2025  08:31 p. m.          77824 EsdSip.dll
-a----     04/06/2025  08:31 p. m.        4313088 esent.dll
-a----     05/09/2024  10:08 p. m.          94208 esentprf.dll
-a----     04/06/2025  08:31 p. m.         847872 esentutl.exe
-a----     04/06/2025  08:31 p. m.         700416 esevss.dll
-a----     10/07/2025  09:55 a. m.         167936 eShims.dll
-a----     05/09/2024  10:09 p. m.          62768 esimtool.exe
-a----     01/04/2024  01:22 a. m.          40960 esrb.rs
-a----     10/07/2025  09:57 a. m.         417792 EthernetMediaManager.dll
-a----     01/04/2024  01:22 a. m.          12288 ETWCoreUIComponentsResources.dll
-a----     01/04/2024  01:22 a. m.         102400 ETWESEProviderResources.dll
-a----     01/04/2024  01:22 a. m.          77824 EtwRundown.dll
-a----     05/09/2024  10:08 p. m.         380928 eudcedit.exe
-a----     10/07/2025  09:59 a. m.         188416 eUICCsCSP.dll
-a----     05/09/2024  10:08 p. m.          98304 EventAggregation.dll
-a----     05/09/2024  10:09 p. m.          49152 eventcls.dll
-a----     05/06/2025  01:10 p. m.          69632 eventcreate.exe
-a----     01/04/2024  01:22 a. m.          17363 EventViewer_EventDetails.xsl
-a----     04/06/2025  08:29 p. m.         106496 eventvwr.exe
-a----     01/04/2024  01:22 a. m.         145127 eventvwr.msc
-a----     05/06/2025  01:10 p. m.         737000 evr.dll
-a----     04/06/2025  08:31 p. m.         389872 ExecModelClient.dll
-a----     01/04/2024  01:22 a. m.          81920 execmodelproxy.dll
-a----     01/04/2024  01:22 a. m.          73728 expand.exe
-a----     10/07/2025  09:56 a. m.        2879488 ExplorerFrame.dll
-a----     04/06/2025  08:34 p. m.         290816 ExSMime.dll
-a----     05/09/2024  10:08 p. m.          61440 extrac32.exe
-a----     04/06/2025  08:34 p. m.          53248 ExtrasXmlParser.dll
-a----     01/04/2024  01:22 a. m.          24576 f3ahvoas.dll
-a----     10/07/2025  09:55 a. m.         684032 facecredentialprovider.dll
-a----     10/07/2025  09:55 a. m.        1144192 Facilitator.dll
-a----     05/09/2024  10:09 p. m.         114688 Family.Authentication.dll
-a----     05/06/2025  01:11 p. m.         155648 Family.Cache.dll
-a----     05/09/2024  10:09 p. m.         151552 Family.Client.dll
-a----     04/06/2025  08:33 p. m.         225280 Family.SyncEngine.dll
-a----     01/04/2024  01:22 a. m.          40960 FamilySafetyExt.dll
-a----     04/06/2025  08:31 p. m.         551064 Faultrep.dll
-a----     04/06/2025  08:32 p. m.          94208 FaxPrinterInstaller.dll
-a----     01/04/2024  01:22 a. m.          49152 fc.exe
-a----     10/07/2025  09:54 a. m.         484944 fclip.exe
-a----     10/07/2025  09:56 a. m.         770048 fcon.dll
-a----     10/07/2025  09:56 a. m.         167936 fdBth.dll
-a----     01/04/2024  01:22 a. m.          36864 fdBthProxy.dll
-a----     05/09/2024  10:08 p. m.          57344 FdDevQuery.dll
-a----     04/06/2025  08:31 p. m.         184320 fde.dll
-a----     05/09/2024  10:08 p. m.         184320 fdeploy.dll
-a----     01/04/2024  01:22 a. m.          45056 fdPHost.dll
-a----     05/09/2024  10:08 p. m.          81920 fdPnp.dll
-a----     04/06/2025  08:32 p. m.         221184 fdprint.dll
-a----     01/04/2024  01:22 a. m.          81920 fdProxy.dll
-a----     01/04/2024  01:22 a. m.          61440 FDResPub.dll
-a----     10/07/2025  09:54 a. m.         188416 fdSSDP.dll
-a----     05/09/2024  10:09 p. m.         131072 fdWCN.dll
-a----     05/09/2024  10:08 p. m.          53248 fdWNet.dll
-a----     04/06/2025  08:29 p. m.         184320 fdWSD.dll
-a----     01/04/2024  01:22 a. m.          44257 FeatureToastBulldogImg.png
-a----     01/04/2024  01:22 a. m.          16940 FeatureToastDlpImg.png
-a----     10/07/2025  09:56 a. m.         290816 feclient.dll
-a----     04/06/2025  08:35 p. m.          98304 ffbroker.dll
-a----     04/06/2025  08:31 p. m.         278528 fhcat.dll
-a----     10/07/2025  09:56 a. m.         397312 fhcfg.dll
-a----     04/06/2025  08:31 p. m.          77824 fhcleanup.dll
-a----     04/06/2025  08:31 p. m.         393216 fhcpl.dll
-a----     04/06/2025  08:31 p. m.         249856 fhengine.dll
-a----     04/06/2025  08:31 p. m.          94208 fhevents.dll
-a----     04/06/2025  08:31 p. m.         163840 fhmanagew.exe
-a----     04/06/2025  08:31 p. m.         368640 fhsettingsprovider.dll
-a----     04/06/2025  08:31 p. m.         167936 fhshl.dll
-a----     04/06/2025  08:31 p. m.          94208 fhsrchapi.dll
-a----     04/06/2025  08:31 p. m.          86016 fhsrchph.dll
-a----     04/06/2025  08:31 p. m.         143360 fhsvc.dll
-a----     10/07/2025  09:56 a. m.          57344 fhsvcctl.dll
-a----     04/06/2025  08:31 p. m.          81920 fhtask.dll
-a----     04/06/2025  08:31 p. m.         133120 fhuxadapter.dll
-a----     04/06/2025  08:31 p. m.          17408 fhuxapi.dll
-a----     04/06/2025  08:31 p. m.          47616 fhuxcommon.dll
-a----     10/07/2025  09:56 a. m.         102400 fhuxgraphics.dll
-a----     04/06/2025  08:31 p. m.         902656 fhuxpresentation.dll
-a----     10/07/2025  09:58 a. m.         360448 fidocredprov.dll
-a----     05/09/2024  10:08 p. m.          61440 FileAppxStreamingDataSource.dll
-a----     05/09/2024  10:08 p. m.         159744 FileDialogBroker.exe
-a----     10/07/2025  09:56 a. m.         258048 FileHistory.exe
-a----     04/06/2025  08:33 p. m.         389120 filemgmt.dll
-a----     04/06/2025  08:32 p. m.         229376 FilterDS.dll
-a----     01/04/2024  01:22 a. m.          40960 find.exe
-a----     05/09/2024  10:08 p. m.          86016 findnetprinters.dll
-a----     05/09/2024  10:08 p. m.          65536 findstr.exe
-a----     04/06/2025  08:34 p. m.          40960 finger.exe
-a----     04/06/2025  08:33 p. m.         159744 fingerprintcredential.dll
-a----     01/04/2024  01:22 a. m.          28672 Firewall.cpl
-a----     10/07/2025  09:59 a. m.         700416 FirewallAPI.dll
-a----     04/06/2025  08:35 p. m.         327680 FirewallControlPanel.dll
-a----     05/06/2025  01:10 p. m.         274432 FirewallUX.dll
-a----     05/06/2025  01:10 p. m.          40960 FirmwareAttestationServerProxyStub.dll
-a----     04/06/2025  08:32 p. m.          49152 fixmapi.exe
-a----     10/07/2025  09:56 a. m.        1183208 FlightSettings.dll
-a----     05/09/2024  10:08 p. m.          59312 fltLib.dll
-a----     04/06/2025  08:31 p. m.          53248 fltMC.exe
-a----     10/07/2025  09:56 a. m.         172032 fltmgrres.dll
-a----     10/07/2025  09:56 a. m.        3440640 FluencyDS.dll
-a----     01/04/2024  01:22 a. m.         110592 fmapi.dll
-a----     04/06/2025  08:31 p. m.         157128 fmifs.dll
-a----     05/09/2024  10:08 p. m.         237568 fms.dll
-a----     11/07/2025  02:06 p. m.         476040 FNTCACHE.DAT
-a----     14/06/2025  11:04 a. m.        1417216 FntCache.dll
-a----     05/09/2024  10:08 p. m.          73728 fodhelper.exe
-a----     05/09/2024  10:08 p. m.         139264 Fondue.exe
-a----     04/06/2025  08:31 p. m.         832016 fontdrvhost.exe
-a----     04/06/2025  08:31 p. m.        1036288 fontext.dll
-a----     10/07/2025  09:56 a. m.          81920 FontGlyphAnimator.dll
-a----     01/04/2024  01:22 a. m.          45056 fontgroupsoverride.dll
-a----     05/09/2024  10:08 p. m.         147456 FontProvider.dll
-a----     04/06/2025  08:31 p. m.         151552 fontsub.dll
-a----     05/09/2024  10:08 p. m.         151552 fontview.exe
-a----     05/09/2024  10:08 p. m.          73728 forfiles.exe
-a----     01/04/2024  01:22 a. m.          69632 format.com
-a----     01/04/2024  01:22 a. m.          45056 fpb.rs
-a----     05/09/2024  10:09 p. m.         135168 fphc.dll
-a----     05/09/2024  10:09 p. m.         270336 framedyn.dll
-a----     05/06/2025  01:12 p. m.         319488 framedynos.dll
-a----     10/07/2025  09:56 a. m.        1200128 FrameServer.dll
-a----     10/07/2025  09:56 a. m.         696320 FrameServerClient.dll
-a----     10/07/2025  09:56 a. m.        4648960 FrameServerCore.dll
-a----     10/07/2025  09:56 a. m.         438272 FrameServerMonitor.dll
-a----     10/07/2025  09:56 a. m.         344064 FrameServerMonitorClient.dll
-a----     05/09/2024  10:08 p. m.         106496 frprov.dll
-a----     01/04/2024  01:22 a. m.          40960 fsavailux.exe
-a----     10/07/2025  09:56 a. m.         137816 FsIso.exe
-a----     01/04/2024  01:22 a. m.         144909 fsmgmt.msc
-a----     05/06/2025  01:10 p. m.         761856 FsNVSDeviceSource.dll
